Aeromonas bivalvium
Afifella marina
Glutamicibacter nicotianae
Bacillus amyloliquefaciens
Bacillus aquamaris
Bacillus aryabhattai
Bacillus cereus
Bacillus circulans
Bacillus coagulans
Bacillus endophyticus
Bacillus firmus
Bacillus flexus
Bacillus foraminis
Bacillus fusiformis
Bacillus jeotgali
Bacillus licheniformis
Bacillus megaterium
Bacillus polymyxa
Bacillus pumilus
Bacillus sphaericus
Bacillus subtilis
Bacillus tequilensis
Bacillus thuringiensis
Bacillus vallismortis
Bacillus vireti
Bacillus bifidum
Bacillus thermophilum
Bowmanella denitrificans
Clostridium butyricum
Ectothiorhodospira shaposhnikovii
Enterobacter hormaechei
Enterococcus faecium
Enterococcus lactis
Exiguobacterium arabatum
Lactobacillus acidophilus
Lactobacillus brevis
Lactobacillus casei
Lactobacillus curvatus
Lactobacillus delbrueckii
Lactobacillus fermentum
Lactobacillus graminis
Lactobacillus johnsonii
Lactobacillus pentasus
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactococcus lactis
Marinomonas communis
Pediococcus acidilactici
Pediococcus parvulus
Pediococcus pentosaceus
Phaeobacter gallaeciensis
Phaeobacter inhibens
Pseudoalteromonas flavipulchra
Pseudoalteromonas piscicida
Pseudoalteromonas ruthenica
Pseudomona aeruginosa
Pseudomona putida
Pseudomona synxantha
Rhodobacter capsulatus
Rhodobacter sphaeroides
Rhodopseudomonas palustris
Shewanella algae
Shewanella haliotis
Staphylococcus haemolyticus
Streptococcus thermophilus
Streptococcus phocae
Streptococcus salivarius
Streptomyces californicus
Streptomyces fradiae
Streptomyces griseus
Streptomyces rubrolavendulae
Vibrio alginolyticus
Vibrio fluvialis
Vibrio gazogenes
Vibrio hepatarius
Vibrio mediterranei
Weissella confusa
Bacteriovorax DA5
Bdellovibrio bacteriovorus
